Type Supply
ID 51542

Size_X 1
Size_Y 1
Size_Z 0.35

Blueprints 5
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 51542
Blueprint_0_Product 177
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 51542
Blueprint_1_Product 221
Blueprint_1_Products 1
Blueprint_1_Build 27
Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 51542
Blueprint_2_Product 440
Blueprint_2_Products 1
Blueprint_2_Build 27
Blueprint_3_Type Apparel
Blueprint_3_Supply_0_ID 51542
Blueprint_3_Product 312
Blueprint_3_Products 1
Blueprint_3_Build 27
Blueprint_4_Type Apparel
Blueprint_4_Supplies 4
Blueprint_4_Supply_0_ID 177
Blueprint_4_Supply_1_ID 221
Blueprint_4_Supply_2_ID 440
Blueprint_4_Supply_3_ID 312
Blueprint_4_Product 51543
Blueprint_4_Products 1
Blueprint_4_Build 27
