Type Supply
ID 51708

Size_X 1
Size_Y 1
Size_Z 0.35

Blueprints 5
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 51708
Blueprint_0_Product 51731
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 51708
Blueprint_1_Product 51733
Blueprint_1_Products 1
Blueprint_1_Build 27
Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 51708
Blueprint_2_Product 51732
Blueprint_2_Products 1
Blueprint_2_Build 27
Blueprint_3_Type Apparel
Blueprint_3_Supply_0_ID 51708
Blueprint_3_Product 51726
Blueprint_3_Products 1
Blueprint_3_Build 27
Blueprint_4_Type Apparel
Blueprint_4_Supplies 4
Blueprint_4_Supply_0_ID 51731
Blueprint_4_Supply_1_ID 51733
Blueprint_4_Supply_2_ID 51732
Blueprint_4_Supply_3_ID 51726
Blueprint_4_Product 51709
Blueprint_4_Products 1
Blueprint_4_Build 27
